sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,unmapped_count,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T077,L,T001,test,45,45,64,1,0,0,8072,False,,WARNING
T077,L,T002,test,45,45,64,0,14347,0,14347,True,output\remesh\T077_L\T002_remesh.ply,PASS
T077,L,T003,test,45,45,64,2,1462,0,1462,False,,WARNING
T077,L,T004,test,45,45,64,1,18807,0,18807,False,,WARNING
T077,L,T005,test,45,45,64,2,0,0,1006,False,,WARNING
T077,L,T006,test,45,45,64,1,0,0,11240,False,,WARNING
T077,L,T007,test,45,45,64,2,17985,0,17985,False,,WARNING
T077,L,T008,test,45,45,64,0,0,0,4566,True,output\remesh\T077_L\T008_remesh.ply,PASS
T077,L,T009,test,45,45,64,0,2464,0,2464,True,output\remesh\T077_L\T009_remesh.ply,PASS
T077,L,T010,test,45,45,64,1,0,0,3797,False,,WARNING
T077,L,T011,test,45,45,64,3,2188,0,2188,False,,WARNING
T077,L,T012,test,45,45,64,1,0,0,2032,False,,WARNING
T077,L,T013,test,45,45,64,2,0,0,3495,False,,WARNING
