sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,raw_unmapped_count,raw_status,repaired_unmapped_count,repair_count,repair_applied,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T013,L,T001,test,325,325,576,7,WARNING,0,7,True,0,0,7682,True,output\remesh_r24\repaired\T013_L\T001_remesh_repaired.ply,PASS
T013,L,T002,test,325,325,576,1,WARNING,0,1,True,28832,0,28832,True,output\remesh_r24\repaired\T013_L\T002_remesh_repaired.ply,PASS
T013,L,T003,test,325,325,576,0,PASS,0,0,False,0,0,6157,True,output\remesh_r24\repaired\T013_L\T003_remesh_repaired.ply,PASS
T013,L,T004,test,325,325,576,1,WARNING,0,1,True,2256,0,2256,True,output\remesh_r24\repaired\T013_L\T004_remesh_repaired.ply,PASS
T013,L,T005,test,325,325,576,0,PASS,0,0,False,0,0,8096,True,output\remesh_r24\repaired\T013_L\T005_remesh_repaired.ply,PASS
T013,L,T006,test,325,325,576,2,WARNING,0,2,True,4550,0,4550,True,output\remesh_r24\repaired\T013_L\T006_remesh_repaired.ply,PASS
T013,L,T007,test,325,325,576,0,PASS,0,0,False,0,0,4500,True,output\remesh_r24\repaired\T013_L\T007_remesh_repaired.ply,PASS
T013,L,T008,test,325,325,576,10,WARNING,0,10,True,0,0,12766,True,output\remesh_r24\repaired\T013_L\T008_remesh_repaired.ply,PASS
T013,L,T009,test,325,325,576,0,PASS,0,0,False,26811,0,26811,True,output\remesh_r24\repaired\T013_L\T009_remesh_repaired.ply,PASS
T013,L,T010,test,325,325,576,4,WARNING,0,4,True,0,0,4128,True,output\remesh_r24\repaired\T013_L\T010_remesh_repaired.ply,PASS
T013,L,T011,test,325,325,576,3,WARNING,0,3,True,4839,0,4839,True,output\remesh_r24\repaired\T013_L\T011_remesh_repaired.ply,PASS
T013,L,T012,test,325,325,576,2,WARNING,0,2,True,0,0,2828,True,output\remesh_r24\repaired\T013_L\T012_remesh_repaired.ply,PASS
T013,L,T013,test,325,325,576,0,PASS,0,0,False,8289,0,8289,True,output\remesh_r24\repaired\T013_L\T013_remesh_repaired.ply,PASS
T013,L,T014,test,325,325,576,0,PASS,0,0,False,10895,0,10895,True,output\remesh_r24\repaired\T013_L\T014_remesh_repaired.ply,PASS
T013,L,T015,test,325,325,576,89,FAIL,89,0,False,1131,0,1131,False,,FAIL
