sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,unmapped_count,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T076,L,T001,test,325,325,576,1,0,0,8120,False,,WARNING
T076,L,T002,test,325,325,576,1,33678,0,33678,False,,WARNING
T076,L,T003,test,325,325,576,1,3290,0,3290,False,,WARNING
T076,L,T004,test,325,325,576,0,19567,0,19567,True,output\remesh_r24\raw\T076_L\T004_remesh.ply,PASS
T076,L,T005,test,325,325,576,12,0,0,1425,False,,WARNING
T076,L,T006,test,325,325,576,8,0,0,8165,False,,WARNING
T076,L,T007,test,325,325,576,4,3783,0,3783,False,,WARNING
T076,L,T008,test,325,325,576,111,0,0,2043,False,,FAIL
T076,L,T009,test,325,325,576,0,30286,0,30286,True,output\remesh_r24\raw\T076_L\T009_remesh.ply,PASS
T076,L,T010,test,325,325,576,0,0,0,1644,True,output\remesh_r24\raw\T076_L\T010_remesh.ply,PASS
T076,L,T011,test,325,325,576,2,2836,0,2836,False,,WARNING
T076,L,T012,test,325,325,576,2,0,0,1906,False,,WARNING
T076,L,T013,test,325,325,576,12,0,0,3913,False,,WARNING
